species,class,parameter,min,max,value,calibration
beech,parResources,lightUseEfficiency,2.5,3.5,3,
beech,parResources,criticalHeatTemperature,40,50,38,
beech,parResources,criticalColdTemperature,-1,2.5,1,
beech,parResources,resourceBudgetFraction,0.05,0.55,1,x
beech,parResources,waterStressThreshold,.3,.9,.5,
beech,parResources,relativeRespirationWood,0.00001,0.00006,0.00003,
beech,parResources,relativeRespirationLeaves,0.0001,0.0003,0.0002,
beech,parResources,Q10,1.6,2,1.8,
beech,parResources,specificLeafArea,8,35,23,
beech,parReproduction,floweringTime,1,10,5,x
beech,parReproduction,floweringDuration,0,10,12,x
beech,parReproduction,limitingPollinationPrecipitation,4,18,17,x
beech,parReproduction,flowersToFruitCost,.1,.2,.14,
beech,parReproduction,temperatureCueSensitivity,2,4,2.8,
beech,parReproduction,temperatureYearTweight,.3,.9,.5,x
beech,parReproduction,reproductionThreshold,.1,.6,.1,x
beech,parResources,waterStressDays,25,30,30,
