site,year,doy,lat,long,evi_sg
SampleSite,2010,1,50.677276,-3.370504,0.382373097
SampleSite,2010,9,50.677276,-3.370504,0.411849116
SampleSite,2010,17,50.677276,-3.370504,0.365678281
SampleSite,2010,25,50.677276,-3.370504,0.287383505
SampleSite,2010,33,50.677276,-3.370504,0.236580708
SampleSite,2010,41,50.677276,-3.370504,0.284958453
SampleSite,2010,49,50.677276,-3.370504,0.28589926
SampleSite,2010,57,50.677276,-3.370504,0.282102715
SampleSite,2010,65,50.677276,-3.370504,0.271816331
SampleSite,2010,73,50.677276,-3.370504,0.22641559
SampleSite,2010,81,50.677276,-3.370504,0.226638667
SampleSite,2010,89,50.677276,-3.370504,0.269635952
SampleSite,2010,97,50.677276,-3.370504,0.356153517
SampleSite,2010,105,50.677276,-3.370504,0.347736981
SampleSite,2010,113,50.677276,-3.370504,0.320439079
SampleSite,2010,121,50.677276,-3.370504,0.355869766
SampleSite,2010,129,50.677276,-3.370504,0.492293089
SampleSite,2010,137,50.677276,-3.370504,0.571390621
SampleSite,2010,145,50.677276,-3.370504,0.59689058
SampleSite,2010,153,50.677276,-3.370504,0.525116413
SampleSite,2010,161,50.677276,-3.370504,0.649305019
SampleSite,2010,169,50.677276,-3.370504,0.626200411
SampleSite,2010,177,50.677276,-3.370504,0.52618515
SampleSite,2010,185,50.677276,-3.370504,0.43837717
SampleSite,2010,193,50.677276,-3.370504,0.426705759
SampleSite,2010,201,50.677276,-3.370504,0.452450473
SampleSite,2010,209,50.677276,-3.370504,0.542660798
SampleSite,2010,217,50.677276,-3.370504,0.569603497
SampleSite,2010,225,50.677276,-3.370504,0.703857548
SampleSite,2010,233,50.677276,-3.370504,0.567389675
SampleSite,2010,241,50.677276,-3.370504,0.413156726
SampleSite,2010,249,50.677276,-3.370504,0.389869478
SampleSite,2010,257,50.677276,-3.370504,0.477804237
SampleSite,2010,265,50.677276,-3.370504,0.539276759
SampleSite,2010,273,50.677276,-3.370504,0.544961785
SampleSite,2010,281,50.677276,-3.370504,0.474367297
SampleSite,2010,289,50.677276,-3.370504,0.512556273
SampleSite,2010,297,50.677276,-3.370504,0.46043587
SampleSite,2010,305,50.677276,-3.370504,0.411869313
SampleSite,2010,313,50.677276,-3.370504,0.318008392
SampleSite,2010,321,50.677276,-3.370504,0.273533032
SampleSite,2010,329,50.677276,-3.370504,0.319293418
SampleSite,2010,337,50.677276,-3.370504,0.249894447
SampleSite,2010,345,50.677276,-3.370504,0.163224188
SampleSite,2010,353,50.677276,-3.370504,0.170089757
SampleSite,2010,361,50.677276,-3.370504,0.248359605
SampleSite,2011,1,50.677276,-3.370504,0.321590827
SampleSite,2011,9,50.677276,-3.370504,0.318216125
SampleSite,2011,17,50.677276,-3.370504,0.269714768
SampleSite,2011,25,50.677276,-3.370504,0.264250967
SampleSite,2011,33,50.677276,-3.370504,0.274098231
SampleSite,2011,41,50.677276,-3.370504,0.309805471
SampleSite,2011,49,50.677276,-3.370504,0.376085068
SampleSite,2011,57,50.677276,-3.370504,0.38039926
SampleSite,2011,65,50.677276,-3.370504,0.298288688
SampleSite,2011,73,50.677276,-3.370504,0.306349691
SampleSite,2011,81,50.677276,-3.370504,0.372714356
SampleSite,2011,89,50.677276,-3.370504,0.434635212
SampleSite,2011,97,50.677276,-3.370504,0.476850391
SampleSite,2011,105,50.677276,-3.370504,0.404432332
SampleSite,2011,113,50.677276,-3.370504,0.449713575
SampleSite,2011,121,50.677276,-3.370504,0.538775771
SampleSite,2011,129,50.677276,-3.370504,0.617758124
SampleSite,2011,137,50.677276,-3.370504,0.67268153
SampleSite,2011,145,50.677276,-3.370504,0.630387166
SampleSite,2011,153,50.677276,-3.370504,0.578612752
SampleSite,2011,161,50.677276,-3.370504,0.564154175
SampleSite,2011,169,50.677276,-3.370504,0.563038297
SampleSite,2011,177,50.677276,-3.370504,0.640996421
SampleSite,2011,185,50.677276,-3.370504,0.632772357
SampleSite,2011,193,50.677276,-3.370504,0.549718675
SampleSite,2011,201,50.677276,-3.370504,0.503870259
